event_id,region_id,original_observation_id,latitude,longitude,acq_date,acq_time,satellite,frp,confidence,instrument,daynight
EVT_20260722_0118,thoothukudi,OBS_00247,8.84976,78.1354,2026-07-22,2012,N20,1.27,n,VIIRS,N
EVT_20260723_0119,thoothukudi,OBS_00123,8.75921,78.18096,2026-07-23,803,N21,7.48,n,VIIRS,D
EVT_20260723_0120,thoothukudi,OBS_00248,8.61615,77.96016,2026-07-23,858,N20,3.71,n,VIIRS,D
EVT_20260723_0120,thoothukudi,OBS_00249,8.61757,77.95881,2026-07-23,858,N20,5.57,n,VIIRS,D
EVT_20260723_0121,thoothukudi,OBS_00250,8.59789,78.13206,2026-07-23,1953,N20,3.6,n,VIIRS,N
EVT_20260723_0121,thoothukudi,OBS_00124,8.59712,78.1305,2026-07-23,2040,N21,2.33,n,VIIRS,N
EVT_20260723_0122,thoothukudi,OBS_00251,8.75794,78.18364,2026-07-23,1953,N20,2.64,n,VIIRS,N
EVT_20260724_0123,thoothukudi,OBS_00125,8.57624,78.11585,2026-07-24,744,N21,3.46,n,VIIRS,D
EVT_20260724_0124,thoothukudi,OBS_00126,8.61152,78.01836,2026-07-24,744,N21,3.74,n,VIIRS,D
EVT_20260724_0124,thoothukudi,OBS_00253,8.61017,78.02084,2026-07-24,837,N20,5.98,n,VIIRS,D
EVT_20260724_0125,thoothukudi,OBS_00127,8.61237,77.97205,2026-07-24,744,N21,3.18,n,VIIRS,D
EVT_20260724_0126,thoothukudi,OBS_00128,8.61814,77.95422,2026-07-24,744,N21,2.12,l,VIIRS,D
EVT_20260724_0126,thoothukudi,OBS_00254,8.61477,77.95449,2026-07-24,837,N20,3.33,n,VIIRS,D
EVT_20260724_0126,thoothukudi,OBS_00255,8.6162,77.95427,2026-07-24,837,N20,4.27,n,VIIRS,D
EVT_20260724_0127,thoothukudi,OBS_00129,8.67282,78.0954,2026-07-24,744,N21,1.83,l,VIIRS,D
EVT_20260724_0127,thoothukudi,OBS_00256,8.67247,78.09816,2026-07-24,837,N20,2.89,n,VIIRS,D
EVT_20260724_0128,thoothukudi,OBS_00130,8.80012,78.12872,2026-07-24,744,N21,5.78,n,VIIRS,D
